,close,change,stock_volatility,stock_momentum,index_volatility,index_momentum,Unnamed: 0,sector_momentum
61,1005.2000119999999,0.013131727,-0.0069359408000000036,0.8,-0.007520323000000001,1.0,61,0.6
62,1018.400024,-0.029408887999999998,-0.011405673000000002,0.8,-0.005196852,0.8,62,0.8
63,988.4500119999999,-0.010774468999999998,-0.012997464800000002,0.8,-0.004617085,0.6,63,0.8
64,977.7999880000001,-0.008590677,-0.014533733200000004,0.8,-0.00204387,0.4,64,0.8
65,969.400024,-0.02367445,-0.011863351400000003,0.8,0.00039198300000000004,0.2,65,1.0
66,946.4500119999999,-0.00211316,-0.014912328800000004,1.0,0.003362773,0.2,66,1.0
67,944.4500119999999,-0.003917637,-0.009814078600000007,1.0,0.005040156,0.2,67,1.0
68,940.75,0.026574542000000003,-0.002344276400000006,0.8,0.005580542,0.2,68,1.0
69,965.75,0.000569493,-0.000512242400000006,0.6,0.002346576,0.4,69,0.8
70,966.2999880000001,-0.012004529,0.001821741799999994,0.6,0.001029766,0.6,70,0.6
71,954.7000119999999,-0.017230556,-0.0012017374000000062,0.6,0.001093824,0.6,71,0.6
72,938.25,0.010071955,0.0015961809999999938,0.4,-0.000655354,0.8,72,0.6
73,947.7000119999999,-0.011079455,-0.005934618400000006,0.6,-0.004112221,1.0,73,0.6
74,937.2000119999999,0.003040947,-0.005440327600000007,0.6,-0.002042356,0.8,74,0.8
75,940.0499880000001,-0.00446786,-0.003932993800000006,0.6,-0.0015165279999999998,0.6,75,1.0
76,935.849976,0.0027248470000000003,5.8086799999993584e-05,0.4,-0.000623186,0.4,76,0.8
77,938.400024,0.007193094000000001,-0.0005176854000000064,0.4,-0.001535404,0.4,77,0.6
78,945.150024,-0.003808957,0.0009364141999999937,0.4,0.000643598,0.4,78,0.4
79,941.5499880000001,-0.009771135,-0.0016260022000000064,0.6,-0.0012499289999999999,0.6,79,0.4
80,932.349976,0.017160938,0.0026997573999999933,0.4,-0.002770941,0.8,80,0.2
81,948.349976,-0.002108926,0.001733002799999993,0.6,-0.001137503,0.8,81,0.4
82,946.349976,0.014265336000000002,0.0031474511999999935,0.6,,0.6,82,0.4
83,959.849976,0.004688233,0.004846889199999993,0.4,,0.4,83,0.4
84,964.349976,-0.0062218080000000005,0.005556754599999993,0.4,,0.4,84,0.2
85,958.349976,-0.009965031999999999,0.00013156059999999274,0.6,,0.4,85,0.4
86,948.7999880000001,-0.006323776999999999,-0.000711409600000007,0.6,,0.6,86,0.4
87,942.7999880000001,-0.005250331,-0.004614543000000007,0.8,,0.8,87,0.6
88,937.849976,0.017700096999999998,-0.0020121702000000076,0.8,-0.001990031,0.8,88,0.8
89,954.4500119999999,0.005290993000000001,0.0002903899999999928,0.6,0.001735525,0.6,89,0.8
90,959.5,-0.002449167,0.0017935629999999924,0.6,0.0034955679999999997,0.4,90,0.8
91,957.150024,0.029305737999999998,0.008919465999999992,0.4,0.00335368,0.4,91,0.6
92,985.2000119999999,-0.01375354,0.007218824199999992,0.4,0.004217302,0.4,92,0.4
93,971.650024,-0.010754913999999999,0.0015278219999999925,0.6,0.000997206,0.6,93,0.2
94,961.2000119999999,0.017530145,0.003975652399999993,0.6,-0.002936854,0.8,94,0.2
95,978.0499880000001,-0.006952598000000001,0.0030749661999999924,0.6,-0.004221594,1.0,95,0.2
96,971.25,-0.01482628,-0.005751437400000008,0.8,-0.006663051,1.0,96,0.4
97,956.849976,-0.015519648999999998,-0.006104659200000006,0.8,-0.007440751,1.0,97,0.6
98,942.0,0.021178357000000002,0.00028199499999999355,0.6,-0.002004204,0.8,98,0.8
99,961.9500119999999,0.052549495999999994,0.007285865199999991,0.6,-0.0034778409999999997,0.8,99,1.0
100,1012.5,0.038074122,0.016291209199999993,0.4,0.000950892,0.6,100,0.8
101,1051.050049,-0.014081203,0.01644022459999999,0.4,0.006067212,0.4,101,0.6
102,1036.25,-0.017418565,0.016060441399999993,0.4,0.007480221,0.2,102,0.4
103,1018.2000119999999,-0.003142813,0.011196207399999993,0.6,0.00343776,0.4,103,0.4
104,1015.0,-0.0015270820000000001,0.0003808917999999939,0.8,0.004836785,0.4,104,0.4
105,1013.4500119999999,0.029256464,-0.0013826398000000065,0.8,-0.000983729,0.6,105,0.6
106,1043.099976,-0.019125637,-0.002391526600000007,0.8,-0.0033962059999999997,0.8,106,0.8
107,1023.150024,-0.022137538999999998,-0.0033353214000000067,0.8,-0.004725264,1.0,107,0.8
108,1000.5,-0.021439292000000002,-0.006994617200000007,0.8,-0.0065131519999999995,1.0,108,0.8
109,979.0499880000001,0.006230566,-0.005443087600000007,0.6,-0.004788616,0.8,109,0.8
110,985.150024,0.024158745,-0.006462631400000007,0.6,-0.0013375379999999999,0.6,110,0.8
111,1008.9500119999999,0.030873645,0.0035372249999999932,0.4,0.0014806770000000001,0.4,111,0.6
112,1040.099976,-0.017209849,0.004522762999999993,0.4,0.0010387130000000001,0.4,112,0.6
113,1022.2000119999999,-0.032723549,0.002265911599999994,0.4,0.001728894,0.4,113,0.4
114,988.75,0.008444982,0.002708794799999994,0.4,-0.00042481800000000004,0.6,114,0.4
115,997.099976,0.03620497,0.0051180397999999955,0.4,-0.0013670070000000002,0.6,115,0.4
116,1033.199951,0.0034844159999999997,-0.0003598060000000049,0.4,-0.005274564,0.8,116,0.6
117,1036.800049,-0.008584129,0.001365337999999995,0.4,-0.001800507,0.6,117,0.6
118,1027.900024,0.003550953,0.008620238399999994,0.2,-0.00032475900000000004,0.4,118,0.8
119,1031.550049,-0.002568974,0.006417447199999993,0.4,-0.000854455,0.4,119,0.8
120,1028.900024,-0.007921104,-0.0024077676000000075,0.6,-0.001085662,0.6,120,0.6
121,1020.75,-0.015821723,-0.006268995400000007,0.8,0.001361038,0.4,121,0.6
122,1004.599976,0.004280358,-0.003696098000000008,0.6,-0.003874355,0.6,122,0.8
123,1008.900024,0.046287987999999995,0.004851308999999991,0.6,-0.004005283,0.6,123,0.8
124,1055.599976,-0.04807692400000001,-0.00425028100000001,0.6,-0.006338399999999999,0.6,124,0.6
125,1004.849976,-0.019107282,-0.006487516600000009,0.6,-0.005195862,0.4,125,0.6
126,985.650024,-0.019327396,-0.0071886512000000095,0.6,-0.010055887,0.6,126,0.6
127,966.599976,0.039571696,-0.00013038360000000893,0.6,-0.0048934,0.4,127,0.6
128,1004.849976,-0.024033403,-0.014194661800000008,0.8,-0.0030395229999999997,0.4,128,0.6
129,980.7000119999999,-0.029723691,-0.010524015200000006,0.8,-0.000940373,0.4,129,0.6
130,951.5499880000001,0.029951132999999998,-0.0007123322000000063,0.6,-2.84e-05,0.4,130,0.8
131,980.0499880000001,-0.021988662000000003,-0.001244585400000007,0.6,0.005418555,0.2,131,0.8
132,958.5,0.06859676599999999,0.004560428599999991,0.6,0.006428136,0.2,132,0.6
133,1024.25,-0.020356335,0.005295842199999991,0.6,0.0069756209999999996,0.2,133,0.4
134,1003.400024,-0.00044848699999999996,0.01115088299999999,0.6,0.007135185,0.2,134,0.4
135,1002.9500119999999,-0.017747632,0.0016111299999999912,0.8,0.004433669,0.4,135,0.4
136,985.150024,0.024209486000000002,0.010850759599999992,0.6,-0.001246781,0.6,136,0.4
137,1009.0,0.042418284,0.005615063199999995,0.6,0.000256913,0.6,137,0.6
138,1051.800049,0.015782444,0.012842818999999995,0.4,-0.005304005,0.8,138,0.6
139,1068.400024,0.003463077,0.013625131799999992,0.2,-0.003026305,0.6,139,0.6
140,1072.099976,0.011099733,0.019394604799999993,0.0,-0.002876042,0.6,140,0.4
141,1084.0,-0.006365336,0.013279640399999992,0.2,0.007148825,0.4,141,0.4
142,1077.099976,0.013183616,0.0074327067999999915,0.2,0.007630357,0.4,142,0.2
143,1091.300049,0.006505979,0.005577413799999991,0.2,0.013435227,0.2,143,0.4
144,1098.400024,-0.009650378000000001,0.0029547227999999915,0.4,0.011108318,0.4,144,0.4
145,1087.800049,0.004044771,0.0015437303999999916,0.4,0.012580859,0.2,145,0.4
146,1092.199951,-0.001876879,0.0024414217999999916,0.4,0.008487556,0.2,146,0.4
147,1090.150024,0.024033345,0.004611367599999992,0.4,0.003847399,0.2,147,0.4
148,1116.349976,-0.017960252,-0.00028187860000000763,0.6,-0.0007243960000000001,0.4,148,0.4
149,1096.300049,-0.010398636,-0.0004315302000000073,0.6,0.0038940109999999997,0.2,149,0.4
150,1084.900024,0.002212208,-0.0007980428000000074,0.6,0.00466999,0.2,150,0.6
151,1087.300049,-0.003127035,-0.0010480740000000076,0.6,0.0040739090000000006,0.2,151,0.6
152,1083.900024,-0.005074269,-0.006869596800000008,0.8,0.005579751,0.2,152,0.6
153,1078.400024,-0.007140275,-0.004705601400000008,0.8,0.009803875,0.0,153,0.6
154,1070.699951,0.015036984,0.00038152259999999145,0.6,0.004076231,0.2,154,0.6
155,1086.800049,-0.0015642920000000001,-0.00037377740000000853,0.8,0.000988998,0.4,155,0.6
156,1085.099976,0.0033176440000000002,0.0009151583999999914,0.6,0.002864312,0.4,156,0.6
157,1088.699951,-0.013548268999999998,-0.0007796416000000082,0.6,0.003751788,0.4,157,0.8
158,1073.949951,0.013827551,0.003413923599999992,0.4,0.00043483199999999996,0.6,158,0.6
159,1088.800049,-0.009046746,-0.001402822400000008,0.6,0.001919172,0.6,159,0.8
160,1078.949951,-0.002409727,-0.001571909400000008,0.6,0.00412404,0.4,160,0.8
161,1076.349976,-0.025270546,-0.007289547400000008,0.8,0.002532834,0.4,161,0.8
162,1049.150024,-0.002573581,-0.005094609800000009,0.8,0.0015873620000000001,0.4,162,0.6
